Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
regexp-v-flag,2021-01-28,2021-05-27,NA,2022-03-29,2023-05-16,2023-09-22
regex-match-indices,2018-07-11,2019-07-12,NA,2019-07-25,2021-06-10,2022-06-06
dynamic-import,NA,2016-10-07,NA,2016-12-01,2019-06-20,2019-06-20
dot-all,2016-11-30,2017-03-22,NA,2017-03-22,2017-12-19,2018-01-19
nullish-coalescing,2017-09-28,2019-06-05,NA,2019-07-23,2020-01-21,2022-11-24
private-methods,NA,2017-07-28,NA,2018-10-26,2021-06-10,2022-01-24
optional-catch,NA,NA,NA,2017-07-28,2018-05-22,2018-05-22
import-meta,NA,2017-05-25,NA,2017-09-28,2020-05-01,2020-05-01
named-groups,NA,NA,NA,2017-03-22,2018-01-24,2018-01-24
globalThis,2015-11-19,2016-03-29,NA,2016-09-29,2019-10-01,2019-10-01
import-attributes,2019-12-06,2020-06-04,NA,2020-09-22,2024-12-12,2024-12-12
object-rest-spread,2014-10-29,2015-08-25,NA,2016-09-29,2018-02-13,2022-01-24
lookbehind,NA,2016-12-06,NA,2017-03-22,2018-01-24,2018-01-26
unicode-escapes,2016-07-27,2016-09-28,NA,2017-03-22,2018-01-24,2023-03-21
json-modules,2019-12-06,2020-06-04,NA,2021-02-01,2024-10-08,2023-12-12
private-fields-in-in,2020-04-01,2020-06-01,NA,2021-01-27,2021-07-15,2021-07-15
await,2018-01-24,2018-05-22,NA,2019-06-06,2021-05-25,2021-05-28
logical-assignment,2018-03-25,2020-02-16,NA,2020-03-15,2020-07-21,2020-07-21
chaining,2017-03-09,2019-06-05,NA,2019-07-25,2019-12-06,2022-01-24
regexp-modifiers,2021-10-28,2021-12-16,NA,2022-10-18,2024-10-08,2024-10-08
function-to-string,2016-01-14,2016-03-16,NA,2016-03-31,2018-11-28,2018-11-28
exponentiation,NA,2015-02-23,NA,2015-07-29,2022-01-24,2022-01-24
template-literal-lift,2016-05-03,NA,NA,NA,2017-10-12,2022-01-24
static-blocks,2018-07-10,2020-11-06,NA,2021-01-27,2021-08-31,2021-08-31
json-superset,2017-09-27,2017-11-29,NA,2018-01-25,2018-05-22,2019-02-13
